feature,training_available_fraction,training_unique_values,selected,reason,fold
proton_thermal_rolling_median_15m,0.9978066612510155,6370,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_thermal_rolling_variance_15m,0.9978066612510155,12283,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_thermal_rolling_mean_60m,0.991876523151909,12210,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_thermal_rolling_median_60m,0.991876523151909,6487,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_thermal_rolling_variance_60m,0.991876523151909,12210,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio_rolling_mean_5m,0.7420796100731113,8946,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio_rolling_median_5m,0.7420796100731113,6265,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio_rolling_variance_5m,0.7420796100731113,8946,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio_rolling_mean_15m,0.8455727051177904,9882,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio_rolling_median_15m,0.8455727051177904,6041,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio_rolling_variance_15m,0.8455727051177904,9882,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio_rolling_mean_60m,0.8805036555645817,10213,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio_rolling_median_60m,0.8805036555645817,5598,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio_rolling_variance_60m,0.8805036555645817,10213,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse_rolling_mean_5m,0.998294069861901,12289,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse_rolling_median_5m,0.998294069861901,7948,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse_rolling_variance_5m,0.998294069861901,12289,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse_rolling_mean_15m,0.9971567831031681,12275,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse_rolling_median_15m,0.9971567831031681,7079,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse_rolling_variance_15m,0.9971567831031681,12275,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse_rolling_mean_60m,0.991876523151909,12210,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse_rolling_median_60m,0.991876523151909,7414,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse_rolling_variance_60m,0.991876523151909,12210,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
density_compression_ratio,0.9978066612510155,12282,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_compression_ratio,0.9971567831031681,12275,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
speed_compression_ratio,0.9978066612510155,12255,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
dynamic_pressure_proxy,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
dynamic_pressure_compression_ratio,0.9978066612510155,12283,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
joint_compression_index,0.9969943135662064,11001,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
js_opdi,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
hellinger_opdi,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
wasserstein_opdi,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
d_js_opdi_dt,0.9995125913891145,12304,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
d_hellinger_opdi_dt,0.9995125913891145,12304,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
d_wasserstein_opdi_dt,0.9995125913891145,12304,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
d_opdi_dt,0.9995125913891145,12304,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
opdi_rolling_mean,0.9979691307879772,12285,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
opdi_rolling_median,0.9979691307879772,5933,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
opdi_rolling_variance,0.9979691307879772,12285,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
opdi_anomaly,0.9939073923639318,12235,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
opdi_persistence,1.0,30,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
th1_th2_cosine_similarity,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
th1_th2_spectral_angle_rad,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
crossplane_centroid_delta_ev,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
crossplane_width_delta_ev,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
